heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
10,10,10,1700320904,5,4,3,-2,16,16000,14,14,0
10,10,10,1700321445,5,5,3,-2,13,13000,11,11,0
10,10,10,1700322644,4,4,3,-2,11,11000,12,12,0
10,10,10,1700322954,4,6,3,-2,16,16000,17,17,0
16,16,40,1700323138,7,6,3,-2,35,35000,39,82,0
16,16,40,1700323289,7,7,3,-2,77,77000,48,48,0
16,16,40,1700324884,7,7,3,-2,66,66000,56,56,0
9,9,10,1700325068,4,4,3,-2,16,16000,14,14,0
9,9,10,1700325093,4,3,3,-2,23,23000,17,17,0
9,9,10,1700325121,5,4,3,-2,19,19000,15,15,0
9,9,10,1700325143,5,3,3,-2,20,20000,15,15,0
9,9,10,1700325165,3,4,3,-2,20,20000,15,15,0
9,9,10,1700325187,4,2,3,-2,19,19000,13,13,0
9,9,10,1700325207,4,4,3,-2,17,17000,15,15,0
16,16,40,1700325261,8,7,3,-2,85,85000,69,69,0
16,16,40,1700325351,7,6,3,-2,3,3000,3,48,0
16,16,40,1700325357,9,7,3,-2,37,37000,27,46,0
16,16,40,1700325396,9,7,3,-2,89,89000,61,61,0
16,30,99,1700325509,7,15,3,-2,142,142000,111,177,0
16,30,99,1700325659,7,13,3,-2,221,221000,144,144,0
16,30,99,1700325943,8,13,3,-2,18,18000,14,197,0
16,30,99,1700325940,7,14,3,-2,290,290000,146,178,0
16,30,99,1700326236,8,14,3,-2,26,26000,32,165,0
16,30,99,1700326270,8,12,3,-2,236,236000,192,192,0
42,88,715,1700367613,19,43,3,-2,126,126000,57,1182,0
42,88,715,1700367819,19,42,3,-2,236,236000,169,1292,0
42,88,715,1700368169,19,39,3,-2,895,895000,604,1169,0
16,30,99,1700377405,7,13,3,-2,274,274000,162,172,0
10,10,10,1700377860,4,4,3,-2,15,15000,11,11,0
9,9,10,1700377899,4,4,3,-2,18,18000,15,15,0
10,10,10,1700394986,4,4,3,-2,11,11000,5,5,0
10,10,10,1700395007,5,3,3,-2,13,13000,9,9,0
10,10,10,1700395024,4,4,3,-2,18,18000,14,14,0
10,10,10,1700395045,5,4,3,-2,18,18000,14,14,0
10,10,10,1700395065,5,5,3,-2,10,10000,12,12,0
9,9,10,1700395123,4,4,3,-2,17,17000,16,16,0
9,9,10,1700395154,4,4,3,-2,12,12000,9,9,0
9,9,10,1700395179,4,3,3,-2,18,18000,23,23,0
16,16,40,1700395235,7,7,3,-2,65,65000,65,65,0
16,16,40,1700395356,7,6,3,-2,4,4000,2,64,0
16,16,40,1700395363,8,5,3,-2,12,12000,8,54,0
16,16,40,1700395380,9,7,3,-2,7,7000,6,65,0
16,16,40,1700395388,10,6,3,-2,60,60000,52,52,0
16,30,99,1700395586,7,13,3,-2,210,210000,157,157,0
16,30,99,1700395844,7,14,3,-2,90,90000,68,152,0
16,30,99,1700395942,8,13,3,-2,211,211000,168,168,0
16,30,99,1700396164,8,14,3,-2,273,273000,179,179,0
16,30,99,1700396441,8,14,3,-2,227,227000,130,131,0
16,30,99,1700396692,9,13,3,-2,23,23000,17,159,0
16,30,99,1700396720,7,13,3,-2,234,234000,164,164,0
16,30,99,1700396979,9,14,3,-2,192,192000,146,171,0
16,30,99,1700397179,9,13,3,-2,274,274000,183,183,0
16,30,99,1700397451,7,13,3,-2,70,70000,71,186,0
16,30,99,1700397534,7,13,3,-2,2,2000,1,167,0
16,30,99,1700397532,7,14,3,-2,131,131000,103,151,0
16,30,99,1700397688,8,12,3,-2,13,13000,11,168,0
16,30,99,1700397688,8,13,3,-2,230,230000,168,168,0
16,30,99,1700397939,8,13,3,-2,17,17000,11,186,0
16,30,99,1700397948,8,13,3,-2,267,267000,213,213,0
16,30,99,1700398226,8,12,3,-2,215,215000,159,159,0
42,88,715,1700398523,21,39,3,-2,15,15000,21,1259,0
42,88,715,1700398569,18,40,3,-2,532,532000,356,1227,0
42,88,715,1700399197,18,42,3,-2,903,903000,755,1298,0
16,16,40,1700408909,7,7,3,-2,84,84000,44,51,0
16,16,40,1700459231,3,6,3,-2,70,70000,43,43,0
16,16,40,1700460114,8,7,3,-2,13,13000,10,62,0
16,16,40,1700460133,8,7,3,-2,77,77000,56,56,0
42,30,200,1700469770,15,13,3,-2,8,8000,6,326,0
42,30,200,1700469791,18,13,3,-2,480,480000,363,363,0
42,88,715,1700485610,23,37,3,-2,175,175000,155,1298,0
42,88,715,1700485809,23,40,3,-2,832,832000,618,1133,0
42,88,715,1700486683,20,42,3,-2,503,503000,341,1200,0
42,88,715,1700495407,20,41,3,-2,460,460000,342,1287,0
16,30,99,1700561765,7,15,3,-2,200,200000,172,172,0
42,88,715,1700562225,21,43,3,-2,1863,1863000,1226,1235,0
16,30,99,1700814728,7,16,2,-2,191,191000,123,161,0
16,30,99,1701110637,6,11,3,-2,232,232000,166,166,0
16,30,99,1701140448,7,15,3,-2,154,154000,96,174,0
42,88,715,1701264836,19,43,3,-2,619,619000,469,1232,0
42,88,715,1701265508,22,44,3,-2,65,65000,46,1226,0
42,88,715,1701265580,19,42,3,-2,146,146000,147,1224,0
42,88,715,1701265752,21,42,3,-2,14,14000,1,1229,0
42,88,715,1701265779,19,39,3,-2,1656,1656000,1233,1233,0
10,10,10,1701280646,5,5,2,-2,16,16000,21,21,0
16,16,40,1701282012,8,7,2,-2,79,79000,63,63,0
16,30,99,1701326609,7,14,3,-2,206,206000,158,158,0
16,30,99,1701326821,8,14,3,-2,28,28000,36,204,0
16,30,99,1701326848,8,14,3,-2,237,237000,138,171,0
16,30,99,1701327104,7,13,3,-2,203,203000,153,168,0
16,30,99,1701327310,7,14,3,-2,110,110000,69,113,0
16,30,99,1701327446,6,14,3,-2,203,203000,166,191,0
16,30,99,1701327666,7,14,3,-2,71,71000,78,204,0
16,30,99,1701327728,7,12,3,-2,227,227000,153,159,0
16,30,99,1701327966,8,15,3,-2,59,59000,52,164,0
16,30,99,1701328039,8,13,3,-2,205,205000,155,155,0
16,30,99,1701328260,8,14,3,-2,209,209000,204,204,0
16,30,99,1701328491,8,14,3,-2,43,43000,47,181,0
16,30,99,1701328533,8,14,3,-2,168,168000,151,167,0
16,30,99,1701328730,8,14,3,-2,170,170000,156,156,0
16,30,99,1701349144,7,14,3,-2,193,193000,126,137,0
10,10,10,1701349644,4,4,3,-2,15,15000,18,18,0
10,10,10,1701349664,4,4,3,-2,16,16000,16,16,0
10,10,10,1701349683,5,4,3,-2,12,12000,10,10,0
10,10,10,1701349699,6,4,3,-2,16,16000,11,11,0
10,10,10,1701349717,4,4,3,-2,14,14000,19,19,0
10,10,10,1701349748,6,5,3,-2,17,17000,20,21,0
10,10,10,1701349769,5,4,3,-2,10,10000,13,13,0
10,10,10,1701349799,5,4,3,-2,16,16000,17,17,0
10,10,10,1701349817,5,5,3,-2,12,12000,16,16,0
10,10,10,1701349840,5,5,3,-2,11,11000,11,11,0
10,10,10,1701349862,5,5,3,-2,14,14000,20,20,0
10,10,10,1701349891,5,5,3,-2,7,7000,13,13,0
10,10,10,1701349933,8,5,3,-2,14,14000,22,22,0
10,10,10,1701349950,5,5,3,-2,14,14000,21,21,0
10,10,10,1701349973,5,5,3,-2,11,11000,12,12,0
10,10,10,1701349986,5,4,3,-2,16,16000,9,9,0
10,10,10,1701350006,4,5,3,-2,11,11000,15,15,0
10,10,10,1701350022,5,5,3,-2,14,14000,22,22,0
10,10,10,1701350041,6,4,3,-2,19,19000,15,15,0
10,10,10,1701350063,6,5,3,-2,11,11000,9,9,0
10,10,10,1701350079,5,5,3,-2,9,9000,12,12,0
10,10,10,1701350101,5,4,3,-2,5,5000,4,4,0
10,10,10,1701350123,6,4,3,-2,11,11000,13,13,0
10,10,10,1701350136,4,5,3,-2,11,11000,17,17,0
10,10,10,1701350149,4,5,3,-2,9,9000,9,9,0
10,10,10,1701350160,6,5,3,-2,13,13000,13,13,0
10,10,10,1701350175,6,6,3,-2,5,5000,2,4,0
10,10,10,1701350194,5,4,3,-2,8,8000,10,10,0
10,10,10,1701350204,4,4,3,-2,12,12000,16,16,0
10,10,10,1701350219,5,4,3,-2,9,9000,8,8,0
10,10,10,1701350229,2,5,3,-2,10,10000,9,9,0
10,10,10,1701350241,5,3,3,-2,13,13000,11,11,0
10,10,10,1701350256,5,5,3,-2,12,12000,17,17,0
10,10,10,1701350270,6,5,3,-2,8,8000,9,9,0
10,10,10,1701350282,6,4,3,-2,14,14000,27,27,0
9,9,10,1701350330,4,4,3,-2,5,5000,4,18,0
9,9,10,1701350337,4,4,3,-2,9,9000,13,18,0
9,9,10,1701350351,4,3,3,-2,16,16000,12,12,0
9,9,10,1701350369,5,4,3,-2,15,15000,24,24,0
9,9,10,1701350395,4,4,3,-2,20,20000,22,22,0
9,9,10,1701350417,3,4,3,-2,20,20000,13,16,0
9,9,10,1701350440,5,4,3,-2,10,10000,8,8,0
9,9,10,1701350460,4,4,3,-2,14,14000,11,11,0
9,9,10,1701350477,3,4,3,-2,10,10000,13,13,0
9,9,10,1701350487,5,4,3,-2,14,14000,13,13,0
9,9,10,1701350504,4,5,3,-2,15,15000,16,16,0
9,9,10,1701350523,5,4,3,-2,15,15000,16,16,0
9,9,10,1701350540,4,4,3,-2,12,12000,12,12,0
9,9,10,1701350554,5,3,3,-2,2,2000,6,17,0
9,9,10,1701350558,4,3,3,-2,9,9000,13,13,0
9,9,10,1701350579,3,4,3,-2,17,17000,15,15,0
9,9,10,1701350599,5,4,3,-2,10,10000,11,11,0
9,9,10,1701350612,5,4,3,-2,14,14000,16,16,0
9,9,10,1701350628,4,4,3,-2,7,7000,6,6,0
16,16,40,1701351852,6,7,3,-2,68,68000,58,58,0
16,16,40,1701352647,7,7,3,-2,34,34000,46,71,0
16,16,40,1701352686,8,6,3,-2,69,69000,73,73,0
16,16,40,1701352777,8,7,3,-2,7,7000,5,70,0
16,16,40,1701352788,8,7,3,-2,65,65000,55,55,0
16,16,40,1701352872,8,7,3,-2,62,62000,51,51,0
16,16,40,1701352947,9,8,3,-2,66,66000,67,67,0
16,16,40,1701353018,8,6,3,-2,55,55000,50,50,0
16,16,40,1701353506,10,7,3,-2,79,79000,81,81,0
16,16,40,1701353594,9,8,3,-2,37,37000,44,78,0
16,16,40,1701353635,9,8,3,-2,62,62000,49,49,0
16,16,40,1701353709,7,7,3,-2,74,74000,68,68,0
16,16,40,1701353789,8,7,3,-2,37,37000,39,73,0
16,16,40,1701353828,8,7,3,-2,62,62000,69,69,0
16,16,40,1701353906,9,7,3,-2,62,62000,62,62,0
16,16,40,1701353971,8,7,3,-2,58,58000,78,78,0
16,16,40,1701354042,8,7,3,-2,54,54000,59,59,0
16,16,40,1701413601,8,7,3,-2,75,75000,57,57,0
16,16,40,1701413714,8,7,3,-2,18,18000,24,65,0
16,16,40,1701413737,8,8,3,-2,46,46000,46,70,0
16,16,40,1701413786,8,7,3,-2,53,53000,54,66,0
16,16,40,1701413846,8,7,3,-2,29,29000,28,43,0
16,16,40,1701413885,8,7,3,-2,69,69000,50,50,0
16,16,40,1701432777,4,9,3,-2,96,96000,75,87,0
16,16,40,1701433360,8,7,3,-2,55,55000,38,38,0
16,16,40,1701452182,7,7,3,-2,51,51000,42,76,0
16,16,40,1701452236,8,7,3,-2,86,86000,69,69,0
16,16,40,1701452325,7,7,3,-2,76,76000,65,65,0
16,16,40,1701452404,10,7,3,-2,8,8000,14,83,0
16,16,40,1701452415,8,6,3,-2,58,58000,38,38,0
16,16,40,1701452490,9,7,3,-2,59,59000,52,52,0
16,16,40,1701452560,8,8,3,-2,13,13000,9,76,0
16,16,40,1701452575,8,8,3,-2,78,78000,80,80,0
16,16,40,1701452693,8,7,3,-2,66,66000,78,78,0
16,16,40,1701452771,9,7,3,-2,93,93000,72,76,0
16,16,40,1701452868,9,6,3,-2,59,59000,51,51,0
16,16,40,1701452943,8,7,3,-2,52,52000,44,44,0
16,16,40,1701492144,8,7,3,-2,7,7000,7,58,0
16,16,40,1701492154,9,6,3,-2,83,83000,56,56,0
16,16,40,1701492248,8,6,3,-2,74,74000,61,61,0
16,16,40,1701492327,7,7,3,-2,34,34000,24,47,0
16,16,40,1701492363,6,7,3,-2,77,77000,52,52,0
16,16,40,1701492446,9,7,3,-2,59,59000,42,42,0
16,16,40,1701492509,9,7,3,-2,5,5000,4,60,0
16,16,40,1701492516,6,7,3,-2,11,11000,13,62,0
16,16,40,1701492529,10,5,3,-2,60,60000,63,63,0
16,16,40,1701492598,9,8,3,-2,98,98000,96,96,0
16,16,40,1701492701,8,7,3,-2,52,52000,43,43,0
16,16,40,1701492781,10,10,3,-2,21,21000,26,60,0
16,16,40,1701492807,8,7,3,-2,62,62000,63,63,0
16,16,40,1701492888,8,8,3,-2,19,19000,23,67,0
16,16,40,1701492909,9,7,3,-2,65,65000,80,80,0
16,16,40,1701492995,8,8,3,-2,8,8000,9,57,0
16,16,40,1701493002,7,6,3,-2,2,2000,1,48,0
16,16,40,1701493006,7,6,3,-2,56,56000,48,48,0
16,16,40,1701493068,8,9,3,-2,7,7000,7,50,0
16,16,40,1701493078,6,7,3,-2,41,41000,56,79,0
16,16,40,1701493125,8,8,3,-2,61,61000,78,78,0
16,16,40,1701493192,8,8,3,-2,54,54000,47,47,0
16,16,40,1701493249,9,8,3,-2,10,10000,17,57,0
16,16,40,1701493264,8,7,3,-2,53,53000,38,38,0
16,16,40,1701493328,7,7,3,-2,74,74000,68,68,0
16,16,40,1701493423,7,7,3,-2,69,69000,61,61,0
16,16,40,1701493496,9,7,3,-2,16,16000,20,51,0
16,16,40,1701493514,7,6,3,-2,42,42000,35,47,0
16,16,40,1701493559,10,9,3,-2,11,11000,12,72,0
16,16,40,1701493571,8,7,3,-2,75,75000,66,66,0
16,16,40,1701493651,9,7,3,-2,80,80000,59,59,0
16,16,40,1701493736,9,9,3,-2,77,77000,83,83,0
16,16,40,1701493818,7,7,3,-2,58,58000,61,61,0
16,16,40,1701493895,7,7,3,-2,13,13000,16,64,0
16,16,40,1701493909,8,8,3,-2,20,20000,18,80,0
16,16,40,1701493931,10,8,3,-2,62,62000,71,73,0
16,16,40,1701493997,7,9,3,-2,62,62000,54,54,0
16,16,40,1701494063,10,8,3,-2,91,91000,72,72,0
16,16,40,1701494160,9,6,3,-2,12,12000,15,57,0
16,16,40,1701494175,9,7,3,-2,29,29000,35,63,0
16,16,40,1701494205,10,8,3,-2,68,68000,53,53,0
16,16,40,1701494281,10,11,3,-2,37,37000,28,37,0
16,16,40,1701494322,9,7,3,-2,14,14000,9,72,0
16,16,40,1701494339,9,6,3,-2,68,68000,63,63,0
16,16,40,1701494414,7,7,3,-2,33,33000,36,61,0
16,16,40,1701494450,9,7,3,-2,7,7000,9,69,0
16,30,99,1701591702,9,12,3,-2,290,290000,155,155,0
16,30,99,1701667805,8,12,3,-2,186,186000,177,202,0
16,30,99,1701667998,8,13,3,-2,134,134000,107,201,0
16,30,99,1701670542,8,14,3,-2,254,254000,155,155,0
16,16,40,1701799094,10,8,2,-2,105,105000,65,65,0
9,9,10,1701863179,3,4,2,-2,15,15000,12,12,0
16,16,40,1701864024,7,7,3,-2,71,71000,79,79,0
16,30,99,1701876870,7,14,3,-2,234,234000,163,163,0
16,30,99,1701877108,7,15,3,-2,64,64000,35,182,0
16,30,99,1701877177,8,13,3,-2,140,140000,120,173,0
16,30,99,1701877327,8,15,3,-2,183,183000,164,167,0
16,30,99,1701877511,7,13,3,-2,6,6000,12,167,0
16,30,99,1701877519,8,13,3,-2,41,41000,44,173,0
16,30,99,1701877563,7,14,3,-2,22,22000,30,186,0
16,30,99,1701877591,7,13,3,-2,174,174000,148,151,0
16,30,99,1701877774,9,13,3,-2,223,223000,168,171,0
16,30,99,1701877999,7,15,3,-2,44,44000,52,172,0
16,30,99,1701878047,6,15,3,-2,227,227000,188,188,0
42,88,715,1701879448,22,43,3,-2,438,438000,380,1248,0
42,88,715,1701879951,20,43,3,-2,639,639000,550,1296,0
16,16,40,1701943482,7,7,3,-2,65,65000,67,67,0
16,16,40,1701943554,7,7,3,-2,51,51000,50,50,0
16,16,40,1701943652,8,7,3,-2,61,61000,62,62,0
16,16,40,1701943717,7,7,3,-2,4,4000,5,60,0
16,16,40,1701943723,11,9,3,-2,66,66000,71,74,0
16,16,40,1701943793,8,7,3,-2,49,49000,51,73,0
16,16,40,1701943844,6,8,3,-2,43,43000,53,83,0
16,16,40,1701943896,8,8,3,-2,69,69000,67,67,0
16,16,40,1701943966,8,7,3,-2,45,45000,63,83,0
16,16,40,1701944014,9,8,3,-2,51,51000,56,56,0
16,16,40,1701944085,7,8,3,-2,52,52000,64,64,0
16,16,40,1701944161,9,7,3,-2,9,9000,9,54,0
16,16,40,1701944174,10,7,3,-2,11,11000,8,53,0
16,16,40,1701944187,8,9,3,-2,66,66000,68,68,0
16,16,40,1701944253,9,8,3,-2,65,65000,65,73,0
16,16,40,1701944321,11,8,3,-2,6,6000,9,63,0
16,16,40,1701944328,6,7,3,-2,32,32000,32,58,0
16,16,40,1701944362,7,5,3,-2,68,68000,73,73,0
16,16,40,1701944434,8,7,3,-2,43,43000,57,73,0
16,16,40,1701944479,8,11,3,-2,5,5000,8,68,0
16,16,40,1701944486,7,7,3,-2,23,23000,42,85,0
16,16,40,1701944513,8,9,3,-2,55,55000,53,53,0
16,16,40,1701944571,9,10,3,-2,18,18000,14,62,0
16,16,40,1701944590,8,7,3,-2,53,53000,59,66,0
16,16,40,1701944645,9,8,3,-2,64,64000,66,67,0
16,16,40,1701944713,8,7,3,-2,45,45000,45,45,0
16,30,99,1701967471,8,14,3,-2,40,40000,35,180,0
10,10,10,1702305296,5,4,2,-2,20,20000,16,16,0
10,10,10,1702305333,5,4,2,-2,10,10000,11,11,0
10,10,10,1702305554,4,5,2,-2,13,13000,18,18,0
10,10,10,1702305594,4,5,2,-2,17,17000,10,10,0
10,10,10,1702305616,5,7,2,-2,12,12000,13,13,0
10,10,10,1702305635,5,6,2,-2,11,11000,11,11,0
10,10,10,1702305707,5,4,2,-2,11,11000,15,15,0
10,10,10,1702305724,3,4,2,-2,11,11000,11,11,0
10,10,10,1702305739,6,4,2,-2,13,13000,16,16,0
10,10,10,1702305756,5,6,2,-2,12,12000,9,9,0
10,10,10,1702305771,5,5,2,-2,5,5000,6,9,0
10,10,10,1702305777,6,2,2,-2,16,16000,14,14,0
10,10,10,1702305798,4,4,2,-2,11,11000,13,13,0
10,10,10,1702305812,6,5,2,-2,13,13000,9,9,0
10,10,10,1702305827,5,5,2,-2,7,7000,7,7,0
10,10,10,1702305861,4,5,2,-2,5,5000,6,11,0
10,10,10,1702305868,5,5,2,-2,12,12000,17,17,0
10,10,10,1702305884,5,4,2,-2,8,8000,13,13,0
10,10,10,1702305897,4,5,2,-2,14,14000,18,18,0
10,10,10,1702305913,5,6,2,-2,10,10000,16,16,0
10,10,10,1702305926,7,5,2,-2,12,12000,14,14,0
10,10,10,1702305976,5,4,2,-2,4,4000,4,8,0
10,10,10,1702305992,5,4,2,-2,12,12000,14,14,0
10,10,10,1702306080,6,4,2,-2,12,12000,15,15,0
10,10,10,1702306109,6,4,2,-2,12,12000,15,15,0
10,10,10,1702306129,5,4,2,-2,17,17000,19,19,0
16,16,40,1702306237,7,7,2,-2,28,28000,15,47,0
16,16,40,1702306280,8,7,2,-2,64,64000,50,50,0
16,30,99,1702306370,7,14,2,-2,196,196000,114,159,0
16,30,99,1702306583,9,14,3,-2,188,188000,204,204,0
16,30,99,1702307298,8,14,3,-2,71,71000,55,153,0
16,30,99,1702307757,9,13,3,-2,175,175000,153,160,0
16,30,99,1702307961,8,14,3,-2,162,162000,124,156,0
16,30,91,-1,0,0,3,-2,30,30000,138,165,1
42,88,180,-1,0,0,3,-2,37,37000,81,81,1
16,30,99,1702317680,8,14,3,-2,37,37000,127,204,1
42,88,185,-1,0,0,3,-2,55,55000,89,89,1
42,88,179,-1,0,0,3,-2,302,302000,1,111,0
16,30,99,1702384903,7,14,3,-2,161,161000,130,171,0
16,30,99,1702385070,7,15,3,-2,216,216000,166,166,0
16,30,99,1702385308,7,14,3,-2,196,196000,151,151,0
16,30,99,1702385530,8,13,3,-2,182,182000,155,155,0
16,30,99,1702385720,8,15,3,-2,7,7000,12,179,0
16,30,99,1702385736,8,14,3,-2,31,31000,37,133,0
16,30,99,1702385775,8,14,3,-2,155,155000,146,146,0
16,30,99,1702386212,8,14,3,-2,127,127000,78,175,0
16,30,99,1702386355,9,15,3,-2,92,92000,56,152,0
16,30,99,1702386459,8,14,3,-2,139,139000,127,186,0
16,30,99,1702386612,7,14,3,-2,194,194000,180,180,0
16,30,99,1702386827,7,14,3,-2,30,30000,27,165,0
16,30,99,1702386862,7,13,3,-2,216,216000,179,179,0
42,88,715,1702387177,22,41,3,-2,159,159000,144,1259,0
42,88,715,1702387411,23,43,3,-2,471,471000,465,1238,0
16,30,99,-1,0,0,3,-2,369,369000,123,143,0
9,9,10,1702441029,4,4,3,-2,15,15000,19,19,0
9,9,10,1702441050,4,4,3,-2,13,13000,11,11,0
9,9,10,1702441069,4,4,3,-2,7,7000,7,7,0
9,9,10,1702441108,4,4,3,-2,14,14000,15,15,0
9,9,10,1702441124,5,3,3,-2,13,13000,19,19,0
9,9,10,1702441145,5,3,3,-2,10,10000,11,11,0
9,9,10,1702441180,5,3,3,-2,8,8000,7,17,0
9,9,10,1702441189,4,4,3,-2,14,14000,26,26,0
10,10,10,1702441242,4,5,3,-2,10,10000,15,15,0
10,10,10,1702441277,4,4,3,-2,11,11000,11,11,0
10,10,10,1702441292,5,5,3,-2,11,11000,13,13,0
10,10,10,1702441328,5,3,3,-2,15,15000,28,28,0
10,10,10,1702441385,5,5,3,-2,11,11000,10,10,0
10,10,10,1702441402,4,4,3,-2,5,5000,3,15,0
10,10,10,1702441408,6,4,3,-2,9,9000,10,10,0
10,10,10,1702441421,7,7,3,-2,15,15000,16,16,0
10,10,10,1702441439,5,5,3,-2,7,7000,9,9,0
10,10,10,1702441459,5,6,3,-2,7,7000,10,10,0
10,10,10,1702441480,6,4,3,-2,8,8000,9,9,0
10,10,10,1702441500,4,4,3,-2,9,9000,12,12,0
16,16,40,1702441555,8,7,3,-2,42,42000,37,45,0
16,16,40,1702441598,7,6,3,-2,63,63000,61,61,0
16,16,40,1702441682,8,9,3,-2,58,58000,45,47,0
16,16,40,1702441743,7,9,3,-2,22,22000,20,49,0
16,16,40,1702441769,7,7,3,-2,16,16000,19,76,0
16,16,40,1702441786,8,7,3,-2,61,61000,48,48,0
16,16,40,1702441862,9,8,3,-2,28,28000,24,43,0
16,16,40,1702441893,9,7,3,-2,75,75000,73,73,0
10,10,10,1702538613,4,4,3,-2,14,14000,14,19,0
10,10,10,1702538629,5,4,3,-2,5,5000,5,13,0
10,10,10,1702538636,6,5,3,-2,11,11000,10,10,0
16,16,40,1702538683,9,7,3,-2,65,65000,64,64,0
10,10,10,1702539487,5,5,3,-2,46,46000,10,10,0
10,10,10,1702539689,6,5,3,-2,13,13000,14,14,0
16,30,99,1702543520,9,12,3,-2,19,19000,22,181,0
16,30,99,1702543535,7,13,3,-2,182,182000,153,153,0
16,30,99,1702543747,8,16,3,-2,180,180000,164,174,0
16,30,99,1702543927,7,13,3,-2,38,38000,54,186,0
16,30,99,1702543971,9,14,3,-2,12,12000,13,132,0
16,30,99,1702543978,7,12,3,-2,112,112000,99,174,0
16,30,99,1702544091,8,12,3,-2,92,92000,107,196,0
16,30,99,1702544190,7,11,3,-2,17,17000,15,170,0
16,30,99,1702544214,9,14,3,-2,171,171000,153,156,0
16,30,99,1702544392,7,14,3,-2,61,61000,70,175,0
16,30,99,1702544448,8,11,3,-2,210,210000,176,197,0
16,30,99,1702544666,8,15,3,-2,157,157000,158,164,0
16,30,99,1702544839,7,13,3,-2,53,53000,61,178,0
16,30,99,1702544890,6,12,3,-2,204,204000,127,170,0
16,30,99,1702545092,4,12,3,-2,30,30000,36,169,0
16,30,99,1702545124,8,11,3,-2,94,94000,85,184,0
16,30,99,1702545234,9,13,3,-2,24,24000,25,163,0
16,30,99,1702545255,9,12,3,-2,133,133000,135,165,0
16,30,99,1702545385,7,13,3,-2,18,18000,13,179,0
16,30,99,1702545418,8,16,3,-2,190,190000,176,180,0
16,30,99,1702545608,8,15,3,-2,230,230000,187,187,0
16,30,99,1702546017,8,14,3,-2,204,204000,168,168,0
16,30,99,1702546256,8,15,3,-2,233,233000,151,162,0
16,30,99,1702546515,9,14,3,-2,96,96000,92,160,0
16,30,99,1702546608,10,20,3,-2,96,96000,99,158,0
16,30,99,1702546718,8,15,3,-2,45,45000,53,149,0
16,30,99,1702546756,6,14,3,-2,229,229000,192,192,0
16,30,99,1702547000,7,13,3,-2,134,134000,155,176,0
16,30,99,1702547174,7,15,3,-2,282,282000,232,232,0
16,30,99,1702547483,9,14,3,-2,140,140000,174,186,0
16,30,99,1702547641,9,17,3,-2,112,112000,128,173,0
16,30,99,1702547771,8,15,3,-2,25,25000,42,183,0
16,30,99,1702547791,8,12,3,-2,163,163000,155,174,0
16,30,99,1702547972,8,15,3,-2,252,252000,184,184,0
16,30,99,1702548243,8,14,3,-2,174,174000,165,165,0
16,30,99,1702548438,7,15,3,-2,177,177000,154,154,0
16,30,99,1702548673,8,16,3,-2,22,22000,19,147,0
16,30,99,1702550128,8,15,3,-2,210,210000,192,192,0
16,30,99,1702550604,7,13,3,-2,22,22000,18,186,0
16,30,99,1702550639,8,15,3,-2,82,82000,87,174,0
16,30,99,1702550730,9,15,3,-2,26,26000,17,132,0
16,30,99,1702550784,8,15,3,-2,13,13000,11,196,0
16,30,99,1702550810,8,14,3,-2,241,241000,191,191,0
10,10,10,1702551641,4,4,3,-2,3,3000,3,10,0
10,10,10,1702551646,5,6,3,-2,15,15000,10,10,0
10,10,10,1702551665,5,4,3,-2,8,8000,6,7,0
10,10,10,1702551675,5,4,3,-2,8,8000,7,10,0
10,10,10,1702551685,5,3,3,-2,12,12000,16,16,0
10,10,10,1702551774,5,5,3,-2,12,12000,16,16,0
10,10,10,1702551817,4,5,3,-2,20,20000,17,17,0
42,88,715,1702559949,21,44,3,-2,108,108000,97,1270,0
42,88,715,1702560174,21,42,3,-2,45,45000,50,1292,0
42,88,715,1702560248,21,44,3,-2,330,330000,307,1213,0
42,88,715,1702560637,22,43,3,-2,51,51000,53,1191,0
42,88,715,1702560703,21,44,3,-2,811,811000,675,1191,0
42,88,715,1702561639,21,44,3,-2,1,1000,1,1272,0
42,88,715,1702561682,20,42,3,-2,249,249000,232,1280,0
10,10,10,1702628377,4,4,2,-2,11,11000,9,9,0
10,10,10,1702628399,5,5,2,-2,11,11000,10,12,0
10,10,10,1702628413,5,4,2,-2,16,16000,20,20,0
10,10,10,1702628431,3,5,2,-2,14,14000,16,16,0
10,10,10,1702628449,5,5,2,-2,8,8000,9,9,0
42,88,715,1702645655,22,42,3,-2,384,384000,342,1205,0
42,88,715,1702646072,21,42,3,-2,339,339000,274,1143,0
42,88,715,1702646441,20,44,3,-2,876,876000,722,1248,0
42,88,715,1702647415,21,46,3,-2,55,55000,44,1294,0
42,88,715,1702647519,18,38,3,-2,370,370000,372,1394,0
42,88,715,1702648006,21,43,3,-2,417,417000,339,1159,0
42,88,715,1702648476,22,43,3,-2,381,381000,356,1203,0
42,88,715,1702649564,22,45,3,-2,260,260000,233,1210,0
42,88,715,1702650113,21,44,3,-2,349,349000,334,1251,0
42,88,715,1702650486,20,43,3,-2,1125,1125000,1008,1240,0
42,88,715,1702651665,23,46,3,-2,816,816000,718,1192,0
42,88,715,1702652548,22,43,3,-2,304,304000,328,1229,0
42,88,715,1702652913,23,47,3,-2,333,333000,339,1214,0
42,88,715,1702653284,21,44,3,-2,931,931000,876,1260,0
