heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
16,30,99,1729325485,8,6,3,-2,90,90000,178,178,0
16,30,99,1729325632,7,4,3,-2,25,25000,45,151,0
16,30,99,1729325658,6,4,3,-2,94,94000,177,177,0
16,30,99,1729325767,5,6,3,-2,103,103000,210,210,0
16,30,99,1729325868,8,4,3,-2,92,92000,184,184,0
16,30,99,1729325985,9,5,3,-2,85,85000,163,163,0
16,30,99,1729326065,7,6,3,-2,55,55000,128,177,0
16,30,99,1729326149,5,4,3,-2,81,81000,137,137,0
16,30,99,1729326232,6,6,3,-2,47,47000,94,178,0
16,30,99,1729326275,7,6,3,-2,12,12000,17,173,0
16,30,99,1729326289,7,5,3,-2,5,5000,12,158,0
16,30,99,1729326304,7,6,3,-2,84,84000,160,160,0
16,30,99,1729326545,8,4,3,-2,91,91000,181,181,0
16,30,99,1729326643,5,6,3,-2,26,26000,61,150,0
16,30,99,1729326684,8,5,3,-2,63,63000,118,150,0
16,30,99,1729326750,10,10,3,-2,97,97000,174,179,0
16,30,99,1729326850,8,8,3,-2,15,15000,25,162,0
16,30,99,1729326882,5,7,3,-2,84,84000,153,164,0
16,30,99,1729326959,10,7,3,-2,45,45000,85,162,0
16,30,99,1729327008,10,4,3,-2,24,24000,51,147,0
16,30,99,1729327040,4,3,3,-2,75,75000,127,127,0
16,30,99,1729327144,9,3,3,-2,82,82000,190,190,0
16,30,99,1729327362,7,4,3,-2,1,1000,1,165,0
16,30,99,1729327365,6,4,3,-2,12,12000,22,188,0
16,30,99,1729327381,5,4,3,-2,35,35000,43,182,0
16,30,99,1729327425,5,5,3,-2,91,91000,150,150,0
16,30,99,1729327530,6,6,3,-2,72,72000,154,181,0
16,30,99,1729327604,7,10,3,-2,34,34000,77,208,0
16,30,99,1729327651,8,5,3,-2,60,60000,114,149,0
16,30,99,1729327705,5,9,3,-2,45,45000,99,170,0
16,30,99,1729327765,6,5,3,-2,54,54000,108,177,0
16,30,99,1729327810,7,9,3,-2,74,74000,134,163,0
16,30,99,1729327916,9,9,3,-2,90,90000,179,179,0
16,30,99,1729327990,6,10,3,-2,15,15000,38,184,0
16,30,99,1729328000,7,7,3,-2,82,82000,171,171,0
16,30,99,1729328114,5,8,3,-2,74,74000,159,166,0
16,30,99,1729328197,5,6,3,-2,111,111000,199,199,0
16,30,99,1729328308,6,7,3,-2,83,83000,185,185,0
16,30,99,1729328397,5,8,3,-2,3,3000,4,175,0
16,30,99,1729328397,5,8,3,-2,97,97000,168,175,0
